1.6914,3.0735,3.6645,4.0412,4.5734,5.5393,0.0058801,0.35832,0.52204,4.7936,4.7404,5.4287,6.0599,0.11599,0.33161,0.54305,0.81309,1.1125,1.3456,1.4679,1.4124,0.18861,5.5353,5.4873,5.5169,5.4682,5.2076,4.8343,4.5493,4.2588,3.7468,3.0163,2.5093,2.1753,1.8026,1.2523,0.69091,0.3505,0.1447,6.1474,5.0942,4.5799,5.1137,5.7637,6.0612,6.1356,3.766,3.5186,3.5912,3.74,4.6679,0.44751,0.70232,0.99078
2.1237,3.0175,3.6727,4.244,4.9044,5.6533,0.032497,0.59645,1.1791,1.8604,2.569,3.2408,4.1564,5.5719,0.079084,0.57852,1.0132,1.3631,1.5474,1.5437,1.4273,1.3275,1.3058,1.3453,1.3944,1.3981,1.344,1.3341,2.236,3.267,3.2072,2.981,2.6704,2.3006,1.8942,1.468,1.0333,0.59739,0.1504,5.945,5.4132,4.9224,4.529,4.1391,3.4097,2.5491,2.4058,2.7295,3.4813,4.5093,5.6121,0.13993,0.70983,1.2982
2.6719,2.6752,3.3767,4.5003,5.1026,5.6205,6.2525,0.66201,1.2756,1.8319,2.4106,3.0227,3.6057,4.1598,4.9249,0.33968,1.2262,1.6176,1.6389,1.3083,1.246,1.3696,1.5342,1.6926,1.8131,1.8538,1.7872,1.6814,1.6599,1.7806,2.1178,2.7641,3.1658,2.7748,2.0636,1.7475,1.4992,0.99464,0.06936,5.7759,5.4398,4.9955,4.1759,3.4805,3.11,2.7449,1.9825,1.024,0.57743,0.24515,5.9091,4.8365,4.1079,3.2893
3.8078,1.3628,1.1682,0.34167,5.3399,5.5029,6.1278,0.72162,1.3393,1.8255,2.3666,2.9864,3.5208,3.8858,4.1049,4.1277,3.9306,4.2781,4.968,6.1858,0.97453,1.4044,1.6611,1.8557,2.0021,2.0673,1.9994,1.8429,1.7327,1.6893,1.6277,0.69834,5.3161,5.192,4.9658,3.117,2.6358,2.6583,5.3853,5.5277,5.4432,5.0508,3.9481,3.3587,3.1329,2.8581,1.8868,0.87843,0.62971,0.49458,6.1911,4.2393,4.0764,4.0342
4.9876,0.35908,0.84408,1.0819,1.3786,4.124,5.3609,1.2261,1.5604,1.9156,2.4371,3.0649,3.5135,3.7425,3.8401,3.9297,4.188,4.5852,4.9628,5.4549,0.67851,1.6209,1.9462,2.1712,2.3573,2.4727,2.4232,2.1848,1.9412,1.7428,1.3008,6.1682,5.6324,5.4441,5.2045,4.6168,3.8821,3.6955,4.0752,5.151,5.5521,5.32,3.8718,3.4234,3.3123,3.155,2.0797,0.91294,0.79191,0.81458,0.9984,4.0014,4.1487,4.3587
5.4441,5.9456,0.3687,1.1478,1.7717,2.2626,2.7091,3.1928,3.7781,4.3973,4.8816,5.18,4.4949,3.0104,3.2615,3.6672,4.1518,4.5922,4.9065,5.031,3.8169,2.9903,3.095,3.2965,3.5152,3.6959,3.7843,3.7541,3.6754,4.0849,5.6757,5.8057,5.7549,5.619,5.3529,4.9114,4.4367,4.1095,3.8722,3.0818,0.96813,0.70575,0.076664,4.8521,4.5214,4.4263,4.2888,2.669,1.8683,1.8961,2.0966,2.7865,4.4684,5.0416
5.7023,5.2127,5.2219,0.32799,1.6643,2.0244,2.488,3.2423,4.0616,4.6632,5.2005,5.8352,0.30379,1.035,1.8082,2.9025,3.8541,4.3497,4.4307,3.7221,3.5946,3.8173,4.0657,4.2817,4.4513,4.5627,4.6097,4.6229,4.6718,4.8086,5.0614,5.445,5.8409,5.9454,5.5792,5.1453,4.9291,4.7165,2.6293,1.9165,1.6591,1.1821,0.37784,6.095,5.7539,5.3612,4.6603,3.898,3.445,3.0472,2.3682,1.4932,0.95481,0.38748
5.9293,4.8208,4.8726,5.358,1.3275,1.8407,2.3418,3.1863,4.0911,4.7067,5.2704,5.9515,0.38608,0.96783,1.4891,2.1964,3.1377,3.4125,2.9602,3.0667,3.5496,4.0191,4.3638,4.6158,4.8038,4.9259,4.9632,4.9368,4.9257,4.9686,5.0545,5.1859,5.9657,1.9963,2.1247,0.11361,5.917,0.42415,1.5217,1.8022,1.7515,1.302,0.46794,0.0039899,6.0291,5.667,4.8204,4.0463,3.7232,3.4412,2.5509,1.4108,1.1439,0.9897
2.0339,4.7331,4.9624,5.4775,0.93532,1.7682,2.3476,3.212,4.1487,4.8079,5.4176,6.132,0.54664,1.0893,1.564,2.134,2.741,2.7649,2.6626,2.9859,3.6054,4.1987,4.6077,4.9002,5.1296,5.2977,5.363,5.3146,5.25,5.2383,5.2566,5.2056,2.7549,2.5259,2.5111,2.307,1.4109,1.2898,1.64,1.8771,1.8762,1.4676,0.65989,0.22813,0.0056255,5.9669,5.0824,4.2726,4.0004,3.8026,2.8921,1.5317,1.3918,1.427
2.7278,5.0898,5.4971,5.9793,0.82817,2.0611,2.7758,3.5586,4.47,5.2577,5.9556,0.37339,1.0318,1.6072,2.157,2.7325,3.0842,2.6952,2.6646,3.1263,3.8786,4.5786,5.0602,5.4227,5.7303,5.9803,6.1146,6.0887,5.9851,5.93,5.9527,6.0867,2.6366,2.8346,2.8581,2.691,2.1832,1.924,2.0416,2.1993,2.2049,1.8585,1.1509,0.73479,0.52935,0.25783,5.7587,4.886,4.6096,4.4726,3.9074,2.1346,2.0178,2.1371
2.7668,0.34597,0.35656,0.55253,1.6548,3.4617,3.8982,4.5029,5.6329,0.23408,0.80739,1.4181,2.1705,2.8793,3.4426,3.9793,4.6542,5.4723,4.8168,4.3402,4.9593,5.5856,6.0741,0.15062,0.41895,0.6048,0.69467,0.69067,0.6477,0.62815,0.64593,0.68516,0.72316,3.8785,3.7967,3.468,2.9213,2.7236,2.8245,2.979,2.9815,2.6318,2.0554,1.7076,1.4864,1.1602,0.43212,5.9834,5.6521,5.3984,4.6901,3.4363,3.1297,3.0475
2.5005,0.78713,0.87957,1.1739,2.9439,3.9529,4.3839,5.083,6.2617,0.73757,1.2848,1.9488,2.7541,3.4051,3.901,4.421,5.1073,5.6946,5.7511,5.5417,5.7923,0.055686,0.50626,0.80243,1.0002,1.1187,1.1517,1.1197,1.0833,1.0685,1.0433,0.91558,0.33794,5.5622,5.1574,4.7826,3.8862,3.517,3.6244,3.7793,3.7482,3.2987,2.647,2.3084,2.0841,1.7058,0.86048,0.18436,6.1774,5.898,4.9089,3.8423,3.6365,3.5744
0.77831,0.93035,1.1146,1.5255,3.2063,4.1154,4.5957,5.3514,0.20984,0.94837,1.5194,2.2199,3.0208,3.6453,4.135,4.6589,5.3084,5.8119,5.8422,5.6612,5.9346,0.29715,0.80856,1.1199,1.3226,1.4382,1.4497,1.385,1.3288,1.3021,1.2539,1.0662,0.44589,5.9733,5.6818,5.4763,4.8099,4.1509,4.1422,4.2293,4.1638,3.6886,2.9642,2.6039,2.3825,2.0007,1.0796,0.40632,0.14976,6.1785,5.0079,4.0037,3.8763,3.8928
0.10411,1.0754,1.3282,1.7923,3.3476,4.2994,4.8267,5.6187,0.46472,1.2146,1.8146,2.526,3.2955,3.9069,4.404,4.9194,5.5103,5.9771,5.8806,5.3319,5.5412,0.24383,1.0648,1.4554,1.6959,1.8282,1.8172,1.6994,1.6009,1.5499,1.4856,1.2897,0.7361,0.090052,6.1135,5.9831,5.5587,4.7583,4.5888,4.6017,4.5082,4.0345,3.2601,2.8754,2.6588,2.2906,1.3138,0.62793,0.40169,0.19362,5.1812,4.1744,4.11,4.207
5.5346,1.4161,1.685,2.0492,3.4727,4.7964,5.3428,6.1522,1.0608,1.8201,2.4001,3.0454,3.7477,4.3525,4.8446,5.3042,5.8047,0.13364,3.3972,3.9511,4.2312,4.2661,3.5806,2.8491,2.728,2.6624,2.4877,2.2398,2.0593,1.9615,1.874,1.692,1.272,0.74851,0.48447,0.375,0.092193,5.5357,5.1851,5.1336,5.0232,4.5565,3.7362,3.334,3.1313,2.8014,1.8013,1.064,0.85931,0.71586,5.9029,4.5691,4.5231,4.6346
4.7105,2.4976,2.332,2.2392,0.60988,6.2164,0.17785,1.0102,2.1591,2.7228,3.1619,3.6974,4.3639,4.964,5.4056,5.7737,6.2419,2.5258,3.3073,3.7488,4.0677,4.2114,4.1827,4.0347,3.8213,3.5312,3.1455,2.7953,2.5933,2.4871,2.3879,2.209,1.8953,1.5672,1.402,1.3706,1.2766,0.53748,6.2039,6.0999,5.9872,5.5206,4.5574,4.1052,3.8929,3.5728,2.6185,1.7977,1.5368,1.3431,0.5855,5.3812,5.1409,5.0543
