2.9553,3.169,3.3356,3.1884,0.67347,0.75337,0.62673,4.9842,4.7714,4.7926,2.4093,2.096,2.1381,1.6268,5.8845,5.966,0.25472,2.6308,2.8587,2.9745,2.9507,6.1657,4.28,3.965,4.0966,4.4429,5.2649,5.9743,5.8459,5.4035,5.4976,0.66489,2.0112,2.7546,3.5905,4.3158,4.9299,5.6475,0.32974,1.1275,1.5523,1.6264,1.4714,1.4572,1.5627,1.6863,1.8257,2.0802,2.6461,3.5463,4.2576,4.7506,5.1796,5.6189,6.0715,0.15404,0.35629,0.44778,0.48104,0.42627,0.1416,5.751,5.1381,4.5635,3.3762,2.6281,2.2079,1.6744,1.1218,0.80516,0.71055,2.3417,2.8849,2.4059,1.7316,1.1509,0.48607,5.6556,4.6743,4.0258,3.3806,2.5677,1.7137,0.97335,6.2693,5.1735,4.5846,4.0412,3.0972,2.3363,1.9888,1.4777,5.8934,5.6144,5.7041,2.373,2.6347,3.0005,4.6564,6.1557,0.7836,1.5997,2.2012,4.9147,5.5167,5.7801,6.0473
2.2924,2.9449,3.4635,4.4837,0.069734,0.73761,1.2477,3.1078,4.5694,4.9056,5.1884,2.0052,2.1485,1.9017,0.43124,0.1509,0.36022,3.2241,3.4586,3.7456,6.2091,0.60236,1.0859,2.4454,3.3994,3.7713,4.1571,5.2287,6.0458,5.4698,4.6495,4.0275,2.9905,2.9551,3.5039,4.18,4.6742,5.1275,5.8324,0.595,1.2475,1.6471,1.9754,2.1812,2.2233,2.1365,1.9536,1.7919,1.9232,3.4419,4.5104,4.9032,5.179,5.3835,5.5514,5.764,6.1928,0.50505,0.86475,1.0432,1.1572,1.2539,1.4075,1.8014,2.1337,2.1343,1.9354,1.5629,1.097,0.66565,0.26833,6.0974,5.3376,2.9881,1.9712,1.2811,0.65391,0.041784,5.612,4.7682,4.027,3.3271,2.3793,1.4918,0.81597,6.1164,5.1346,4.5949,3.9383,2.8796,2.3242,2.0062,0.78791,5.9955,6.0196,2.0404,2.8442,3.3206,5.0382,0.2415,1.0431,1.7859,2.7764,4.5865,5.3271,5.8317,0.47309
1.5982,1.9657,4.538,5.0073,5.1991,6.1193,2.1638,2.3034,2.5071,5.3438,5.4943,5.4955,4.4696,2.4488,2.1456,1.6876,0.78154,4.6038,4.6344,5.0608,6.1629,0.69156,1.2077,1.8667,2.7703,3.4736,4.0105,4.8227,6.2198,0.77874,3.3306,3.9081,4.1028,3.3922,2.9214,3.7836,4.3321,4.7631,5.3003,6.0783,0.62981,1.4315,2.2692,2.8191,3.1062,3.3255,3.6998,5.0499,6.1453,0.24331,0.36598,0.073129,5.7507,5.4227,5.2433,5.0007,4.3615,3.1195,2.493,2.1906,2.0195,1.9187,1.843,1.7589,1.663,1.6436,1.7784,1.7632,1.4217,0.81057,0.23984,6.1141,5.7378,5.1772,3.4225,1.5569,0.76961,0.27871,6.0924,5.4286,4.5863,3.8827,3.103,1.9879,1.2341,0.66686,6.0979,5.1811,4.6415,4.0328,2.7667,2.0207,1.5862,0.69239,5.8129,5.3359,4.927,4.5584,4.6664,1.1675,1.6316,2.3533,3.4432,4.2311,4.8194,6.0882,1.1753
1.0034,0.55066,0.10987,5.4492,4.7487,4.2543,3.0777,2.2611,1.9916,1.4703,5.772,5.5003,5.3146,3.3468,2.7919,2.8335,3.5837,5.4088,5.5814,5.7114,6.1077,0.64094,1.2204,1.6195,2.1079,2.8955,3.8562,4.6885,5.8271,0.88034,1.5703,1.9929,5.8619,0.049793,0.72484,1.5106,2.3322,3.3991,4.5797,5.2487,5.6402,5.8511,5.1506,4.0901,4.1997,4.4053,4.6569,5.0287,5.6327,0.084015,0.63941,1.0266,1.3589,1.781,2.5426,3.1397,3.2894,3.2804,3.182,2.9649,2.6318,2.3023,2.0528,1.8238,1.4718,0.65507,4.926,3.6977,3.1852,2.6472,1.3425,0.39479,6.219,5.73,5.0412,4.1221,1.446,0.71106,0.26814,6.0514,5.3365,4.5125,3.8166,2.9413,1.7596,1.1012,0.57961,5.8526,4.8932,4.4901,3.6354,1.7324,1.5072,1.1716,5.5635,5.2791,5.3534,5.6163,2.496,3.0544,3.927,4.7248,5.0674,2.9388,2.7681,2.7437,2.2632
6.0498,0.36962,0.52478,0.19414,4.5923,4.4386,4.1635,2.2366,1.9568,1.8741,0.081778,5.5626,5.5078,4.091,2.9858,3.127,3.8313,5.6483,6.0052,6.0979,5.9103,5.9033,0.62306,1.0698,1.4481,1.9907,3.02,4.173,5.1203,0.27357,1.125,1.4291,1.1342,0.47777,0.7975,1.4282,1.9993,2.5737,3.6145,4.7215,5.1608,5.3755,5.4988,5.5489,5.5048,5.3718,5.2527,5.302,5.6333,6.2701,0.66158,1.1945,1.6269,1.9786,2.276,2.5914,2.9585,3.2679,3.4261,3.4266,3.2637,2.945,2.5418,1.9604,0.32152,5.6568,5.0304,4.3648,3.8012,3.2812,2.6639,1.9464,1.1839,0.30332,5.665,4.6254,3.2936,2.2503,1.2482,0.43364,6.0941,5.3312,4.425,3.7651,3.0207,1.7906,1.1072,0.51333,5.0004,4.3963,3.8458,1.8818,1.5319,1.2723,5.8782,5.3436,5.4341,0.055226,2.3213,3.0193,4.2462,5.1354,5.8199,1.2561,2.4374,2.9136,3.3287
4.6703,0.048306,1.1254,1.5809,2.6546,4.8095,5.132,5.6699,1.9638,2.2828,2.5889,5.5687,5.9196,0.32761,2.8016,3.3048,4.2215,5.8757,0.46631,1.8339,3.2565,4.2141,5.2413,6.165,0.72635,1.5961,2.4238,3.2516,4.2503,5.3425,0.2058,1.2904,1.8987,2.0932,1.7287,1.6936,2.0853,2.5097,3.0087,3.8066,4.6315,5.112,5.4542,5.7507,5.9798,6.1058,6.1141,6.0459,6.0744,0.16467,0.96142,1.6419,2.0186,2.2222,2.3473,2.4905,2.7874,3.351,3.8779,4.1312,4.2295,4.2936,4.4561,4.8704,5.3622,5.4904,5.2263,4.7307,4.1992,3.5911,2.9369,2.4198,1.9699,1.3205,0.2502,5.1368,3.3837,2.7896,2.1882,1.1543,0.32788,5.9696,4.966,4.1083,3.589,2.7787,1.5613,0.96242,6.0777,4.5311,4.0786,3.1149,2.02,1.6481,0.93308,5.6712,5.5812,0.92168,2.1695,2.6418,4.4606,5.4446,6.0146,0.71024,2.1456,3.1319,3.8998
4.5601,4.2775,2.3079,2.0654,1.9209,0.69035,5.7476,5.5682,5.2096,3.5242,3.0507,2.7506,1.1682,0.62968,0.52739,0.32357,0.24292,1.6001,2.3459,2.6967,3.1105,3.8585,4.8857,5.5455,6.1445,1.1191,2.1993,2.748,3.4583,4.4502,4.969,5.0251,3.1826,2.9237,3.2262,4.0164,4.4543,2.9486,2.6821,2.8281,3.2142,4.0391,4.9501,5.594,6.1299,0.25727,0.54226,0.78901,1.1817,2.0728,2.8335,3.1143,3.1948,3.1438,3.0077,2.8881,3.049,5.2182,5.3539,5.277,5.1405,4.9956,4.896,4.8764,4.9799,5.3007,5.5314,5.2773,4.8668,4.2753,3.4499,2.8657,2.4873,2.0512,1.2601,0.19819,3.4307,3.0122,2.6056,1.8362,0.84078,0.17952,5.5914,4.4105,3.7689,3.0902,1.8213,1.0027,0.28456,5.3091,4.5452,4.0177,3.1927,2.3484,1.886,1.3625,0.29033,0.96927,1.9563,1.9787,1.1015,6.0372,6.1612,0.29057,0.90549,4.0688,4.4443
4.8513,4.1909,3.2508,2.4528,2.0145,1.4948,0.012019,5.5596,5.2393,4.5918,3.198,2.7448,2.1284,0.26252,0.20794,0.46189,1.0827,2.0247,2.5727,2.8398,3.0755,3.4883,4.2617,4.9835,5.4499,6.0212,1.3378,2.2725,2.886,3.8145,4.5566,4.877,4.948,4.3775,3.7376,4.5984,5.1489,5.3401,2.4315,2.5816,2.7925,3.1136,3.5573,4.029,5.3002,0.94557,1.2057,1.4648,1.8765,2.4804,3.0561,3.4792,3.8034,4.0634,4.2985,4.6585,5.3689,5.8809,5.991,5.9085,5.7005,5.4053,5.0848,4.7619,4.3514,3.5794,2.1082,0.56099,5.9541,5.357,4.6965,3.9459,3.3326,2.8269,2.2126,1.177,4.5684,3.5565,3.0469,2.4701,1.6479,0.83106,0.11774,5.2648,4.0006,3.1389,2.0182,1.0901,0.4411,5.9583,5.1034,4.4744,3.8978,3.0855,2.3106,1.8885,1.5483,5.6407,5.5319,1.2325,1.4169,1.4138,1.0072,5.937,5.9169,5.8772,5.476
0.043411,4.585,3.9069,3.1954,2.3182,1.8811,0.88195,5.4021,5.228,4.9653,2.4316,2.3618,4.7028,5.6134,5.861,0.6157,1.8637,2.1087,2.0525,1.2785,2.7743,3.0718,3.3787,3.9718,4.8993,5.5899,6.1445,0.79153,2.082,2.9346,4.0335,4.9097,5.3276,5.6285,6.0158,0.12378,0.15963,0.33406,1.5723,2.4293,2.6701,2.8443,3.0275,3.1785,3.1817,2.8859,2.4042,2.2162,2.3274,2.6436,3.1034,3.6199,4.0872,4.4392,4.7025,4.969,5.3632,5.8894,6.2504,0.068812,6.2775,6.0601,5.5788,4.5073,3.689,3.2015,2.62,1.7193,0.60157,5.9367,5.3101,4.8265,4.2954,3.6177,2.9235,1.9466,5.7539,5.0174,4.0014,3.1199,2.512,1.7575,0.85171,0.2129,5.7036,3.4011,2.5476,1.5298,0.74948,0.1937,5.7939,4.9885,4.3825,3.7735,2.7628,2.0446,1.7093,5.1699,5.0353,5.2845,1.712,2.0539,2.4946,3.4389,5.2566,6.1643,0.18441
0.80934,0.71292,4.4808,4.3923,4.1526,2.7573,3.4753,4.6653,4.5932,1.9847,1.8031,1.6346,0.24765,5.2317,4.8124,3.9435,3.1076,2.5206,0.25621,0.034628,0.14525,2.0357,2.9616,3.2975,4.1742,5.4367,5.8957,0.0034435,0.82967,1.8032,2.1508,1.9328,5.6378,5.7155,5.9673,0.28762,0.70578,0.63033,0.30272,0.11018,1.0044,2.118,2.4234,2.6996,2.9583,3.1015,3.0965,3.0135,2.9725,3.0758,3.5037,4.4195,4.9216,5.0721,5.1443,5.2317,5.3932,5.7928,0.43434,0.95869,1.0287,1.0045,1.0428,1.3892,3.0794,3.349,3.0101,2.1692,1.2676,0.19418,5.6585,5.2301,4.8337,4.1876,3.3251,2.5497,6.1182,5.6234,4.997,3.8294,3.0906,2.4834,1.4021,0.5457,6.275,4.7244,3.5224,2.8112,1.66,0.9374,0.44392,5.9626,5.0795,4.5891,3.9667,2.0686,1.5698,5.0936,4.8976,4.8083,3.2939,2.3853,2.5682,3.0321,4.2573,0.049862,0.57946
