2.611,2.765,3.5395,4.9431,5.2394,5.3889,5.6074,5.997,0.23907,0.74322,1.1788,1.5765,1.9611,2.3511,2.7624,3.1847,3.5472,3.6815,2.4196,1.7284,1.7259,1.7949,1.8959,2.0247,2.1441,2.1205,1.4621,0.4795,0.208,0.083662,6.2312,6.0107,5.6328,5.1104,1.7653,1.3645,1.1577,0.95583,0.63018,6.1911,5.3241,4.8589,4.3052,2.445,1.9341,1.7113,1.33,0.12437,5.6718,5.4714,5.357,4.9851,2.7525,2.585
2.5573,2.6196,3.7378,5.3623,5.5609,5.7555,6.1315,0.62129,1.2377,1.4675,1.6065,1.8283,2.1801,2.5941,3.006,3.4186,3.8523,4.3132,4.8523,6.1351,1.4252,1.909,2.2435,2.5539,2.8466,3.0552,2.939,1.0691,0.59388,0.37163,0.14967,6.2276,6.0941,0.37591,2.0115,1.8984,1.6428,1.3257,0.96311,0.53662,6.2693,5.5212,4.1717,2.4544,1.8792,1.497,1.037,0.29518,5.8477,5.4392,5.1506,4.6412,3.1958,2.6599
2.6229,2.5288,5.9498,5.8402,5.9933,0.055344,0.95068,1.9487,2.4106,2.7461,3.1539,3.6977,3.8935,3.5823,3.541,3.7619,4.142,4.6086,5.0535,5.4208,5.7215,2.8949,3.1707,3.4714,3.7644,3.963,3.9019,3.4382,3.017,2.8241,2.5536,1.456,0.96404,1.4005,2.1714,2.4998,2.493,2.1731,1.5945,1.2041,1.0577,1.0496,1.2482,2.3811,1.278,0.87659,0.75015,0.53549,0.017424,5.4908,4.9648,4.5473,3.7769,2.931
4.6576,5.6989,0.25884,0.37944,0.62226,1.131,1.89,2.5159,2.9794,3.4427,3.9945,4.5531,4.9554,5.1577,5.1234,4.8915,4.8702,5.0873,5.2949,5.3561,5.1306,4.5987,4.3245,4.3473,4.4709,4.5304,4.2991,3.7273,3.3692,3.216,3.0654,2.7077,1.9917,1.6965,2.5486,3.4372,3.5588,3.4218,2.8597,2.0219,1.654,1.4939,1.2415,5.6262,5.1577,5.2034,5.8237,1.5099,1.7927,1.9984,3.0149,4.6386,4.7768,4.7448
5.4035,5.5791,0.45846,1.3965,1.6688,1.9488,2.3946,2.9781,3.5012,3.9343,4.3508,4.7709,5.1538,5.47,5.7338,5.9711,6.1707,6.2472,6.0268,5.3929,4.9369,4.813,4.846,4.959,5.0929,5.143,4.8715,4.0858,3.6069,3.3949,3.1923,2.868,2.3881,2.0493,4.0885,4.2855,4.1701,3.9652,3.56,2.8383,2.2153,1.8489,1.3683,5.5594,5.0588,4.7916,4.1826,2.8037,2.3149,2.1167,1.9082,0.88685,5.6228,5.4297
5.5011,5.5393,0.76652,2.0391,2.2166,2.4346,2.8932,3.7476,4.3443,4.6125,4.7944,5.0215,5.3436,5.6926,6.0119,0.041443,0.38067,0.75287,1.1504,1.8988,4.6554,5.0001,5.2757,5.5325,5.7607,5.9116,5.8739,5.3025,4.2492,3.6988,3.2796,2.9093,2.672,2.9493,4.8326,4.8231,4.6348,4.3453,3.9505,3.485,3.0238,2.5922,1.9833,5.3719,4.905,4.4673,3.8797,3.1273,2.5199,2.1236,1.7735,1.1198,6.1262,5.6328
5.6181,5.5379,2.7443,2.5328,2.6544,2.9208,3.6687,4.8411,5.3321,5.5967,5.8348,6.1245,6.2823,6.2482,0.095686,0.33699,0.67533,1.1172,1.628,2.1674,3.3931,5.472,5.8924,6.1897,0.15361,0.33124,0.3783,0.24338,0.039326,6.26,0.26644,2.5339,3.1349,4.0914,5.0866,5.3246,5.255,4.9079,4.3959,4.053,3.8995,3.8547,3.9534,4.482,4.1908,3.8902,3.684,3.3719,2.7993,2.1451,1.6917,1.2253,0.33511,5.8715
6.0674,5.7469,3.5415,3.1359,3.257,3.6351,4.5588,5.462,5.9287,0.031205,0.53294,1.2132,1.7289,1.7791,1.242,0.9614,1.1298,1.5095,1.9337,2.2252,2.016,0.6083,0.5009,0.63539,0.80134,0.92231,0.90544,0.70146,0.47113,0.36204,0.32708,0.17544,4.6776,4.604,5.3757,6.03,6.2136,6.0292,5.2709,4.6838,4.5136,4.46,4.3326,2.8017,2.319,2.813,3.5621,3.9375,3.9533,2.7305,1.7087,1.4815,1.1282,0.3772
1.5752,1.3972,3.8656,4.0902,4.2089,4.4928,5.0903,5.8596,0.11391,0.51487,0.93243,1.4177,1.8645,2.1394,2.2347,2.2292,2.2588,2.3848,2.4901,2.2654,1.5068,1.2042,1.2236,1.339,1.4747,1.5651,1.5127,1.2304,0.86888,0.6336,0.44656,0.041476,5.3733,5.1122,6.0751,0.54178,0.64825,0.50843,6.2521,5.4432,5.0602,4.8985,4.6986,1.9809,1.7899,1.6268,6.0214,5.1956,5.0522,4.8724,4.2249,2.6049,2.1355,1.85
1.9267,1.6875,0.56466,5.0633,4.9946,5.0754,5.4035,0.095955,0.82796,1.0755,1.2221,1.4228,1.7706,2.1815,2.5108,2.7817,3.063,3.405,3.8681,5.5624,1.0232,1.443,1.7456,1.9913,2.1888,2.3234,2.3589,2.2486,1.9989,1.7,1.1824,5.8657,5.5947,5.9849,0.53905,0.94918,0.99256,0.79237,0.34452,6.1522,5.9,5.9513,0.80107,1.3838,1.1683,0.60654,6.2299,5.7213,5.2982,4.8588,4.3218,3.5942,2.7935,2.2474
