1.8956,1.5508,1.1899,0.36561,4.7475,4.3646,4.2909,4.4907,5.543,0.21614,0.56957,0.91056,1.5078,2.4249,3.0904,3.6032,4.5978,6.0821,0.40767,0.89243,1.4047,1.8556,2.1587,2.3256,2.388,2.37,2.2938,2.1365,1.688,0.88789,0.46855,0.28556,0.13222,6.2007,5.876,5.4937,5.1901,4.9937,4.792,4.0567,3.1585,3.1367,3.1711,2.6067,1.3394,1.0356,0.84262,0.44811,5.7809,5.0396,4.689,4.3476,3.6243,2.4639
2.9287,2.0307,1.3423,1.115,0.23406,4.4236,4.5868,4.985,5.8605,0.46978,0.99861,1.4731,2.0727,2.7586,3.3085,3.7068,4.0385,4.253,2.1917,2.63,3.068,3.3729,3.5869,3.7499,3.8895,4.0403,4.3273,0.099752,0.77182,0.91019,0.95842,0.9435,0.85245,0.66363,0.39579,0.14403,6.257,6.124,5.8833,5.3462,4.8198,4.5292,4.1861,3.3394,2.5057,2.1324,1.7708,1.0319,0.14819,5.9806,5.6111,4.919,3.9442,3.4106
3.6988,3.32,1.7878,1.3659,1.2434,5.0386,5.0222,5.3537,6.057,0.71071,1.3456,1.8317,2.3487,2.9311,3.4491,3.7704,3.7884,3.4527,3.3451,3.5553,3.8573,4.1516,4.4148,4.6488,4.8569,5.043,5.2402,5.5934,0.15092,0.93301,1.2416,1.3529,1.3402,1.1942,0.92807,0.66193,0.48709,0.35291,0.098209,5.7555,5.1656,4.9116,4.6524,3.7789,2.8498,2.5803,2.3689,1.7106,0.5398,0.18247,0.013032,5.8843,4.3271,3.8542
4.0784,3.9831,3.6902,1.657,1.0389,0.56622,0.018927,6.1093,0.22977,1.4469,2.0312,2.3526,2.702,3.1928,3.7271,3.9427,3.6882,3.4455,3.529,3.8004,4.1435,4.4746,4.7543,4.9805,5.1624,5.3087,5.4363,5.6005,6.0021,0.9337,1.6652,1.8716,1.9102,1.8153,1.5705,1.2511,1.0191,0.90276,0.80294,0.41708,5.769,5.4871,5.4816,5.2991,3.3086,3.0541,3.0138,2.8233,1.4028,0.66421,0.5424,0.43453,5.9324,4.2553
4.4176,4.2677,4.2578,4.5576,0.69865,0.86122,0.96977,1.2585,2.3375,3.1538,3.393,3.5698,3.9202,4.7964,5.4565,5.4223,3.954,3.6178,3.7674,4.089,4.4961,4.8633,5.1349,5.3325,5.4874,5.6165,5.71,5.7128,5.4666,4.2039,3.2671,3.0206,2.892,2.7817,2.646,2.4599,2.2605,2.1548,2.1525,2.1232,1.9076,1.366,0.74593,0.33225,6.1941,5.2346,4.2186,3.8034,3.3957,2.1953,1.2469,0.96782,0.74697,5.8677
5.019,4.5468,4.5372,4.8211,0.45789,1.049,1.3268,1.7818,2.7422,3.528,3.936,4.3155,4.8993,5.6439,6.1039,0.00063235,6.1367,4.9072,4.6453,5.0243,5.4688,5.7483,5.912,6.0364,6.1738,0.075381,0.29124,0.28932,4.3006,4.1325,4.0264,3.8796,3.7146,3.5646,3.4488,3.3615,3.2681,3.1188,2.8963,2.6272,2.3144,1.9074,1.3601,0.76501,0.23035,5.9339,5.1348,4.3719,3.8439,3.2487,2.1755,1.4296,1.1002,0.7262
5.8051,4.9901,4.8915,5.0929,0.55875,1.3307,1.6304,2.0716,2.9182,3.7132,4.1748,4.5777,5.1023,5.7237,6.1673,0.085684,0.082176,6.2004,6.144,0.037624,0.25569,0.42752,0.57189,0.72839,0.9382,1.2267,1.5824,2.0812,3.2509,4.0355,4.2019,4.1947,4.1159,4.0075,3.8991,3.8047,3.7089,3.57,3.351,3.0499,2.6917,2.283,1.7975,1.2283,0.63269,0.030417,5.6311,4.8915,4.247,3.6177,2.7628,1.9537,1.4813,1.0328
5.9758,5.7168,5.6617,5.8749,1.4821,1.957,2.1435,2.4606,3.1518,3.9339,4.389,4.7377,5.1505,5.6701,6.1321,0.11957,0.22103,0.2206,0.2462,0.38962,0.60076,0.81426,1.0189,1.2298,1.4632,1.7228,1.9963,2.3023,2.8257,3.7133,4.1922,4.3448,4.3906,4.3894,4.351,4.2733,4.1655,4.0452,3.9046,3.7017,3.3778,2.9156,2.4263,1.9951,1.5268,0.80158,6.2319,5.6769,5.193,4.1854,3.0605,2.6447,2.3594,1.5388
5.7605,0.12608,0.49671,1.1105,2.3071,2.9402,3.2233,3.483,4.0222,4.7108,4.9119,5.0058,5.2084,5.5999,6.1235,0.25913,0.4864,0.56048,0.55286,0.60712,0.794,1.0433,1.2921,1.531,1.7717,2.0234,2.2754,2.4882,2.652,2.9335,3.6458,4.3713,4.7639,5.0243,5.2213,5.3115,5.2001,4.9548,4.7708,4.6391,4.4503,4.0522,3.4223,2.9533,2.6786,2.348,1.3571,0.47885,0.29182,0.31155,3.0183,3.4497,3.6666,4.2106
5.5871,0.56546,1.044,1.571,2.5705,3.463,3.9405,4.3929,5.176,6.024,6.2465,5.9869,5.7042,5.8829,0.20327,0.76404,1.0651,1.1933,1.1576,1.0246,1.0994,1.3609,1.6329,1.8809,2.1282,2.4018,2.7006,2.9088,2.795,2.5376,2.4774,2.4112,5.9312,6.0925,6.2598,0.071571,6.2668,5.9246,5.5469,5.3074,5.1045,4.7757,4.1727,3.5811,3.2404,2.9476,2.2773,1.1948,0.83593,0.74522,0.60973,4.1146,4.2151,4.5098
