2.8947,3.4502,3.9027,4.4833,5.3108,5.936,6.2035,6.2634,0.0012354,0.24791,0.7038,1.0725,1.3318,1.5594,1.8077,2.085,2.3154,2.4176,2.4246,2.4096,2.4053,2.4031,2.3596,2.2186,2.0183,1.8215,1.5244,0.91475,0.22166,6.111,5.8168,5.3494,4.4717,3.8009,3.3409,2.2101,1.153,0.86078,0.60571,6.184,5.2152,4.9474,4.9062,4.8368,2.678,2.4859,2.6957,3.0757,4.015,5.5687,6.2072,0.39053,0.97374,1.9482
2.4703,3.0874,3.9449,4.7937,5.4445,6.1033,0.67693,1.598,2.4326,3.4194,4.4533,5.1901,5.7753,0.029122,0.50722,0.90381,1.235,1.5326,1.8162,2.0851,2.327,2.5255,1.0085,6.0937,6.1902,6.2343,6.1806,6.023,5.8374,5.6918,5.5498,5.1824,3.4924,2.8076,2.3953,1.7708,1.1536,0.78121,0.48753,0.050266,5.5923,5.0061,4.7091,4.4229,3.4302,2.3849,2.2362,2.3279,3.5419,5.2999,5.6265,6.0973,0.84672,1.874
2.342,2.8904,4.0514,4.9806,5.5217,6.2051,1.0704,1.9406,2.57,3.3518,4.2421,4.8888,5.394,5.9116,0.1758,0.65005,1.0097,1.3065,1.6076,1.9602,2.3742,3.0373,5.4923,5.8731,6.0138,6.0591,6.0174,5.8939,5.7383,5.6135,5.5077,5.1944,2.9785,2.57,2.2634,1.7635,1.1974,0.80143,0.49424,0.090318,5.6952,5.0438,4.6717,4.3459,3.5075,2.3688,2.0865,2.0332,2.0915,5.2726,5.4194,5.7521,0.83033,1.9175
2.3302,2.7627,4.5365,5.2677,5.6679,0.11097,1.3988,2.0857,2.5921,3.2908,4.15,4.7653,5.2252,5.7173,0.023968,0.56433,0.94741,1.2417,1.5631,2.0751,2.9293,4.1625,5.3982,5.8464,6.002,6.0403,6.0052,5.9174,5.8158,5.7534,5.7464,5.769,2.5821,2.5062,2.2902,1.8787,1.3623,0.9424,0.60249,0.19709,5.8518,5.1721,4.7177,4.3223,3.5388,2.441,2.0218,1.7914,0.59914,5.392,5.3181,5.4104,1.501,2.1247
2.7207,3.9071,5.655,5.8038,6.0809,0.67731,1.7945,2.2471,2.6257,3.2366,4.0943,4.683,5.0812,5.5369,6.2527,0.69958,1.1473,1.5197,2.2997,3.6035,4.0851,4.4501,5.221,6.0043,6.2261,6.254,6.2609,0.080766,0.35346,0.63285,0.72356,0.65277,0.49024,3.2671,2.8966,2.4507,1.9997,1.567,1.1201,0.6035,0.0035273,5.6819,5.1113,4.4647,3.617,2.8244,2.2039,1.3777,0.21174,5.8721,5.4557,4.3994,3.0287,2.7645
4.3314,5.4857,6.0929,0.19708,0.71814,1.6366,2.3341,2.6613,2.9057,3.3447,4.3179,4.7813,4.5788,3.2629,2.7612,2.7941,3.0777,3.5566,3.9976,4.2751,4.4417,4.5398,4.3859,1.8228,1.8814,1.9815,1.9984,1.8919,1.7532,1.6219,1.4451,1.0205,6.0163,5.1374,4.5474,3.7544,3.1151,2.7423,2.403,1.8356,1.0161,0.53848,0.3188,0.039553,4.1179,3.9182,4.216,5.3636,0.027391,0.50486,1.3209,2.6115,3.1849,3.6039
4.68,5.4855,0.031688,0.68487,1.3058,2.0707,2.89,3.5685,4.3064,5.6257,0.45361,1.1707,1.8553,2.438,2.8635,3.2047,3.535,3.8805,4.2125,4.4889,4.6944,4.7941,2.7688,2.2909,2.372,2.4391,2.4122,2.2658,2.0739,1.9088,1.7351,1.3034,5.9078,5.241,4.8167,4.1844,3.5512,3.1675,2.8719,2.4276,1.6268,1.0295,0.77641,0.57647,5.4829,4.467,4.5234,4.9326,0.082434,1.0127,1.5662,2.3468,3.3166,4.0332
4.8128,5.5548,0.36593,1.0551,1.5756,2.2916,3.2971,4.0473,4.6612,5.5489,0.33229,1.0314,1.6264,2.279,2.8771,3.3271,3.6944,4.0573,4.4427,4.8129,5.1211,5.3838,1.8859,2.3996,2.5242,2.589,2.5812,2.4918,2.3625,2.243,2.1189,1.821,6.0023,5.3756,4.9871,4.4123,3.8205,3.4238,3.1046,2.6573,1.903,1.2705,0.94129,0.62837,5.6613,4.6692,4.5677,4.7444,0.7418,1.3009,1.6021,2.2705,3.6956,4.351
5.0241,5.905,0.97055,1.4329,1.8194,2.5409,3.6078,4.2076,4.6427,5.2866,0.026716,0.74364,1.2675,2.0073,2.9467,3.5362,3.9472,4.3968,4.948,5.441,5.7675,6.0057,0.3058,2.5885,2.7775,2.8464,2.891,2.9192,2.9185,2.8804,2.7934,2.5882,0.98178,5.8684,5.3616,4.7494,4.1988,3.796,3.4198,2.8954,2.156,1.5553,1.1503,0.61362,5.545,4.8521,4.6209,4.2427,1.6979,1.6139,1.6824,2.4472,4.5157,4.7467
5.5174,0.79221,1.6097,1.8555,2.1642,2.9343,3.9141,4.3474,4.645,5.0938,5.933,0.33412,0.66431,0.9127,3.8058,4.2552,4.6417,5.2509,5.8471,6.1854,0.070201,0.13763,0.046482,4.3823,3.8747,3.9073,3.9461,3.8903,3.7912,3.6741,3.5041,3.1448,2.0212,0.82697,0.032255,5.4171,4.8227,4.4426,4.0314,3.3394,2.5218,2.0345,1.6496,0.44891,5.4246,5.1398,4.8451,2.4005,2.097,2.0364,2.0282,5.1241,5.1711,5.2518
6.2438,1.466,2.0446,2.297,2.637,3.4423,4.2681,4.6018,4.8133,5.1358,5.7796,0.082176,0.25472,0.091006,5.8617,5.5463,5.7289,6.1601,0.22328,0.41914,0.51331,0.49814,0.12109,5.293,5.0546,5.1,4.9967,4.6995,4.416,4.2073,3.9881,3.5282,2.2109,1.365,0.76902,6.1467,5.4599,5.1073,4.7809,4.078,3.028,2.6381,2.5523,5.0416,5.4764,5.5469,5.8958,2.267,2.3913,2.5113,3.0069,5.3044,5.5538,5.7501
0.39233,1.7242,2.4102,2.7259,3.1058,3.8714,4.6685,5.0333,5.2585,5.5641,6.1396,0.38003,0.48049,0.23503,6.1378,6.0193,6.2397,0.34199,0.65452,0.8438,0.94309,0.93484,0.49794,5.6059,5.4512,5.5141,5.4338,5.158,4.8612,4.636,4.4143,3.9482,2.4251,1.6442,1.1128,0.2914,5.8909,5.536,5.2368,4.6028,3.4508,3.0338,2.9892,5.101,5.7934,5.9016,6.2169,2.6099,2.779,2.9297,3.4091,5.5612,5.9302,6.1739
0.60701,2.012,2.853,3.1395,3.4706,4.1811,5.0662,5.5103,5.8044,6.1928,0.55989,1.1531,1.4013,1.3363,0.66853,0.12608,0.32022,0.77504,1.133,1.3382,1.4457,1.4622,1.2094,0.09798,6.0381,6.0673,5.9614,5.6717,5.3783,5.1557,4.939,4.5215,2.997,2.0745,1.4794,0.62019,6.2435,5.8783,5.528,4.7474,3.6153,3.1788,2.8604,0.34697,6.2741,6.1394,5.7256,3.5511,3.3271,3.294,3.3366,0.062076,0.17122,0.28845
0.79297,2.8444,3.4185,3.5431,3.7725,4.4552,5.421,5.8679,6.1726,0.30641,0.96486,1.5695,1.9149,2.1204,2.2596,2.1872,1.4721,1.6427,1.8356,1.9352,1.9698,1.9259,1.7204,1.3098,1.0935,1.0241,0.74634,0.22521,6.075,5.7969,5.5385,5.0781,3.9386,3.0273,2.3276,1.124,0.40185,0.041589,5.8421,4.3829,3.5609,3.1246,1.992,0.78869,0.41913,0.07461,5.4493,4.283,3.8993,3.6642,3.1371,1.1544,0.80257,0.71719
